path,line,group,text
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,17,other,> `omni run <bundle> --server <url>` exercises exactly the code you're on.
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,28,other,"   If both are `False`, run `omni setup` → **Antigravity** and paste a key, or"
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,50,other,.venv/bin/omni server start          # spawns a detached server on a free loopback port
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,51,other,".venv/bin/omni server status         # prints the URL, e.g. http://127.0.0.1:6767"
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,85,other,SERVER=http://127.0.0.1:6767   # the URL from `omni server status`
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,86,other,timeout 280 .venv/bin/omni run /tmp/agy-dev \
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,108,other,| Concurrency / leaks | fire several `omni run … &` at once; then `pgrep -af localharness` to check for orphaned native subprocesses |
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,122,other,   `executor.auth` (api_key) > stored `antigravity:` config block (`omni setup`)
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,135,other,8. **Local-runner topology:** `omni run <bundle> --server <url>` runs the
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,137,other,   managed `omni server start` server runs from whatever venv launched it.
.claude/skills/antigravity-sdk-e2e-dev/SKILL.md,200,other,.venv/bin/omni server stop      # stop the managed background server
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,17,other,> `omni run <bundle> --server <url>` exercises exactly the code you're on.
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,25,other,   SDK; for live testing call `.venv/bin/omni` / `.venv/bin/python` directly and
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,36,other,"   If both are `False`, run `omni setup` and register a Copilot token, or"
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,47,other,.venv/bin/omni server --port 7788 --no-open    # foreground; or `omni server start` for detached
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,83,other,timeout 280 .venv/bin/omni run /tmp/copilot-dev \
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,102,other,"| Concurrency / leaks | fire several `omni run … &` at once; then `pgrep -af ""copilot/bin/copilot""` to check for orphaned bundled-CLI subprocesses |"
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,137,other,"live: fanout dispatched 8 sub-agents, 8/8 OK + a synthesis). Note `omni run -p`"
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,153,other,   (api_key) > stored `copilot:` config block (`omni setup`) > ambient
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,201,other,"- **`omni run -p` against an async orchestrator exits after the dispatch turn**,"
.claude/skills/copilot-sdk-e2e-dev/SKILL.md,211,other,.venv/bin/omni server stop        # or kill the foreground `omni server`
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,14,other,> `omni run <bundle> --server <url>` exercises exactly the code you're on.
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,26,other,"   If both are `False`, run `omni setup` and register a Cursor key, or"
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,38,other,.venv/bin/omni server start          # spawns a detached server on a free loopback port
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,39,other,".venv/bin/omni server status         # prints the URL, e.g. http://127.0.0.1:6767"
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,72,other,SERVER=http://127.0.0.1:6767   # the URL from `omni server status`
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,73,other,timeout 280 .venv/bin/omni run /tmp/cursor-dev \
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,93,other,"| Concurrency / leaks | fire several `omni run … &` at once; then `pgrep -af ""cursor-sdk-bridge|cursor_sdk""` to check for orphaned bridge subprocesses |"
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,107,other,   spec `executor.auth` (api_key) > stored `cursor:` config block (`omni
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,117,other,6. **Local-runner topology:** `omni run <bundle> --server <url>` runs the
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,119,other,   managed `omni server start` server runs from whatever venv launched it.
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,153,other,"  bridge start error) makes `omni run -p` exit **0 with empty output**, while"
.claude/skills/cursor-sdk-e2e-dev/SKILL.md,173,other,.venv/bin/omni server stop      # stop the managed background server
.claude/skills/harness-integration-guide/SKILL.md,103,other,- [ ] Auth is configured and documented (setup flow in `omni setup`)
README.md,154,root-config-docs,"omni upgrade            # detects how you installed, drains & stops the local"
README.md,156,root-config-docs,omni upgrade --check    # just report whether a newer release is available
README.md,159,root-config-docs,`omni upgrade` waits for in-flight agent sessions to finish before stopping the
README.md,160,root-config-docs,local server (pass `--force` to stop them immediately); the next `omni` command
README.md,180,root-config-docs,> the shorter `omni`. They're interchangeable.
RELEASING.md,130,root-config-docs,python -m venv /tmp/omni-rc
RELEASING.md,132,root-config-docs,/tmp/omni-rc/bin/pip install --index-url https://pypi.org/simple/ omnigent
RELEASING.md,134,root-config-docs,/tmp/omni-rc/bin/pip install --index-url https://test.pypi.org/simple/ --no-deps \
RELEASING.md,136,root-config-docs,/tmp/omni-rc/bin/omnigent --version    # expect 0.2.0
RELEASING.md,141,root-config-docs,> (`/tmp/omni-rc/bin/pip install --index-url https://pypi.org/simple/ <dep>`) —
ap-web/electron/src/url.js,127,desktop-electron,   * Mirrors the omni CLI's behavioral detection
ap-web/src/shell/NewChatDialog.tsx,222,web-app-src,  // only the plain `omni host` command. Driven by /v1/info.
ap-web/src/shell/NewChatDialog.tsx,242,web-app-src,              command={`omni host --server ${serverUrl}`}
ap-web/src/shell/NewChatDialog.tsx,248,web-app-src,"              command=""omni sandbox create --provider lakebox"""
ap-web/src/shell/NewChatDialog.tsx,252,web-app-src,              command={`omni sandbox connect --provider lakebox --sandbox-id <id> --server ${serverUrl}`}
ap-web/src/shell/NewChatDialog.tsx,258,web-app-src,"        <CliCommandBlock command={`omni host --server ${serverUrl}`} testIdPrefix=""connect-host"" />"
ap-web/src/shell/SubagentsPanel.tsx,469,web-app-src," * ``omni --harness kimi``, whose ``harness: ""kimi""`` would otherwise fall"
designs/CLI_CONTRACT.md,42,designs,"| `omni.accent`  | `#F43BA6` magenta  | Brand — wordmark, headers, `==>`, spinner |"
designs/CLI_CONTRACT.md,43,designs,| `omni.success` | green              | Success / done                       |
designs/CLI_CONTRACT.md,44,designs,| `omni.warning` | yellow             | Warnings (stderr)                    |
designs/CLI_CONTRACT.md,45,designs,| `omni.error`   | red                | Errors (stderr)                      |
designs/CLI_CONTRACT.md,46,designs,| `omni.info`    | cyan               | Informational                        |
designs/CLI_CONTRACT.md,47,designs,"| `omni.muted`   | dim                | Metadata, secondary text             |"
docs/QWEN_FOLLOWUPS.md,157,docs,- [x] **Restore qwen's TUI history on resume.** `omni qwen --resume <conv_id>`
docs/QWEN_FOLLOWUPS.md,239,docs,"    `databricks-*` model), then `omni run`; confirm the runner log's"
docs/QWEN_FOLLOWUPS.md,275,docs,(e.g. printing `Command: rm …` as text). The omni run is deterministic about
docs/QWEN_NATIVE_DESIGN.md,385,docs,"On `omni qwen --resume <conv_id>` (or a runner restart), `_auto_create_qwen_terminal`"
docs/databricks.md,141,docs,omni server
